"subject" "desc" "mean_data" "meantBodyAccX" "meantBodyAccY" "meantBodyAccZ" "meantBodyGyroX" "meantBodyGyroY" "meantBodyGyroZ" "meanTotalBodyAccX" "meanTotalBodyAccY" "meanTotalBodyAccZ"
1 "LAYING" "-6.03e-01" 0.0259452701070313 0.00108246310390625 -0.00325707417875 0.0610835223671875 -0.0260312073203125 0.202239813203125 0.18128593203125 0.7928201828125 0.57080637421875
1 "SITTING" "-5.70e-01" -0.027423536419375 0.108260198835938 0.0565136401171875 -0.0194046051953125 -0.0941628840625 0.063357475046875 0.9264601265625 0.16874141171875 0.37832932421875
1 "STANDING" "-6.17e-01" 0.00226869044134375 -0.00165537132054687 -0.00812555056015625 0.0222503515984375 0.0194027690614844 0.00946815436515625 1.0193045703125 -0.12426187265625 0.099731794609375
1 "WALKING" "-3.74e-01" 0.000916193242187499 -0.010782967353125 -0.0087836404828125 -0.4662259965625 0.070601635421875 0.0752891383125 1.00515624609375 -0.238358715929687 -0.0459172015859375
1 "WALKING_DOWNSTAIRS" "-3.70e-01" 0.016667720390625 0.0184175053835938 0.00797723381757813 -0.0052113843046875 -0.0165798689296875 0.02174453753125 1.01092390390625 -0.213249424070312 -0.0237554928828125
1 "WALKING_UPSTAIRS" "-4.15e-01" -0.0193658261484375 -0.0311668583304687 0.020266895984375 0.256527545609375 -0.085425165484375 -0.022963649540625 0.98066758671875 -0.293753043671875 -0.06213598286875
2 "LAYING" "-6.14e-01" -0.021392563646875 -0.00405499325632813 0.004484106605 0.0261556439378125 -0.138613185703125 0.08977569178125 -0.1775712634375 0.7345048234375 0.663065128125
2 "SITTING" "-6.22e-01" 0.00389727094875 0.00128677470390625 -0.0104060028234375 -0.023201909853125 0.0005092381484375 0.0431337330289063 1.01288307265625 -0.107694178203125 0.154324296875
2 "STANDING" "-5.87e-01" -0.00420363195773437 -0.00322422048929688 0.0309376655234375 0.152279713164062 -0.007879892659375 0.045717674984375 0.99380341015625 -0.26753133046875 0.138709816484375
2 "WALKING" "-4.22e-01" -0.0151702913101563 -0.00797593456796875 0.0037746052234375 -0.258517107695312 0.139372104007031 -0.0020299528515625 0.97111093984375 -0.336938990234375 0.0176033211390625
2 "WALKING_DOWNSTAIRS" "-3.70e-01" 0.0237378763640625 -0.0220482800078125 -0.00086571387421875 -0.112316257429687 0.0141844232890625 -0.0193277849828125 0.98776019296875 -0.355633911484375 0.017928498203125
2 "WALKING_UPSTAIRS" "-3.94e-01" -0.0052981815546875 -0.0069449613203125 -0.0803791210625 -0.542564704695312 0.133684162538281 -0.0148944851640625 0.96250703359375 -0.40295911421875 -0.12551123730625
3 "LAYING" "-5.83e-01" -0.00298872676640625 -0.0018726403359375 0.0013715929 0.006483955909375 -0.0522136409201719 0.282202615078125 0.109108733125 0.78728727890625 0.5984445015625
3 "SITTING" "-5.59e-01" 0.009907916825 0.0241044796203125 0.02518874275 -0.0037268636625 -0.0505871289914063 0.130222696953125 1.0043152703125 0.0154198532570312 0.20802371875
